"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-19","2020","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-20","2020","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-21","2020","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-22","2020","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-23","2020","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-24","2020","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-25","2020","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-26","2020","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-27","2020","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-28","2020","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-29","2020","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-04-30","2020","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-05-01","2020","05","01","","","","","","","","","","","","","","","","","","","","","","",""
